iter	Passed	Remaining
0	141	141511
1	142	71295
2	144	47895
3	145	36158
4	146	29100
5	147	24414
6	148	21051
7	149	18532
8	150	16571
9	151	14994
10	152	13717
11	153	12663
12	155	11779
13	156	11023
14	157	10344
15	158	9753
16	159	9230
17	160	8764
18	161	8352
19	162	7975
20	163	7635
21	164	7325
22	165	7042
23	167	6792
24	168	6570
25	169	6353
26	171	6174
27	172	5983
28	173	5801
29	174	5636
30	175	5475
31	176	5325
32	176	5180
33	177	5043
34	178	4914
35	179	4793
36	179	4679
37	180	4570
38	181	4466
39	181	4367
40	182	4278
41	183	4192
42	185	4122
43	185	4039
44	186	3959
45	187	3882
46	187	3808
47	188	3738
48	189	3674
49	189	3608
50	190	3546
51	191	3486
52	191	3428
53	192	3372
54	193	3320
55	193	3268
56	194	3217
57	195	3167
58	195	3121
59	196	3074
60	197	3032
61	197	2993
62	198	2954
63	199	2922
64	200	2884
65	201	2846
66	201	2809
67	202	2774
68	203	2739
69	203	2707
70	204	2675
71	205	2643
72	205	2611
73	206	2580
74	206	2550
75	207	2521
76	208	2493
77	208	2467
78	209	2440
79	209	2413
80	210	2387
81	211	2362
82	211	2335
83	212	2312
84	212	2290
85	213	2269
86	214	2253
87	215	2232
88	216	2211
89	216	2190
90	217	2173
91	218	2154
92	218	2135
93	219	2117
94	220	2100
95	221	2082
96	221	2064
97	222	2052
98	223	2035
99	224	2018
100	224	2001
101	225	1984
102	226	1972
103	227	1956
104	227	1942
105	229	1932
106	229	1917
107	230	1903
108	231	1888
109	231	1875
110	232	1862
111	233	1848
112	233	1834
113	234	1821
114	234	1808
115	235	1795
116	236	1782
117	236	1769
118	237	1757
119	237	1744
120	238	1732
121	238	1719
122	239	1707
123	240	1696
124	240	1685
125	241	1676
126	242	1665
127	244	1664
128	245	1655
129	245	1645
130	246	1635
131	247	1624
132	247	1614
133	248	1604
134	249	1596
135	249	1586
136	250	1576
137	250	1567
138	251	1557
139	252	1548
140	252	1538
141	253	1528
142	253	1519
143	254	1511
144	254	1502
145	255	1494
146	256	1487
147	257	1480
148	258	1478
149	259	1470
150	260	1463
151	260	1455
152	261	1447
153	262	1439
154	262	1431
155	263	1424
156	263	1416
157	264	1408
158	265	1401
159	265	1394
160	265	1386
161	266	1378
162	267	1371
163	267	1364
164	268	1357
165	268	1351
166	269	1344
167	270	1337
168	270	1330
